price,bedroom,bathroom,area(sqft),address,furnishing,completion_status,handover,project_name,propert_type
"1,302,869",1.0,1,6.588926477533519,JumeirahVillageCircle(JVC),0,0,2026.0,3,Apartment
"770,000",1.0,1,6.171700597410915,TownSquare,1,1,2025.0,10,Apartment
"5,399,898",3.0,2,8.005367067316664,JumeirahBeachResidence(JBR),1,1,2027.25,8,Apartment
"670,000",0.5,1,5.817111159963204,JumeirahVillageCircle(JVC),0,0,2025.5,8,Apartment
"2,800,000",3.0,4,7.233455418621439,ArabianRanches3,0,1,2026.75,14,Townhouse
"1,446,000",3.0,3,7.181591944611865,DubaiLandResidenceComplex,1,0,2025.25,1,Apartment
"6,250,000",3.0,4,8.027476530860483,JumeirahPark,0,1,2025.25,4,Villa
"1,450,000",1.0,2,6.637258031284457,DubaiMarina,1,1,2027.0,7,Apartment
"660,000",0.5,1,5.808142489980444,DubaiSouth,1,0,2025.75,1,Apartment
"1,294,106",1.0,2,6.7912214627261855,JumeirahVillageCircle(JVC),1,0,2026.25,16,Apartment
"1,050,000",0.5,1,6.35088571671474,BusinessBay,1,1,2027.25,9,Apartment
"1,800,000",2.0,2,7.2909747781429814,Dubailand,0,1,2028.25,9,Villa
"1,100,000",1.0,2,6.504288173536645,JumeirahVillageCircle(JVC),0,1,2026.75,1,Apartment
"2,900,000",1.0,2,6.602587892189336,DubaiCreekHarbour,1,1,2027.25,12,Apartment
"3,400,000",4.0,4,8.060224240440958,TheValleybyEmaar,0,0,2025.75,15,Villa
"900,000",0.5,1,5.966146739123692,JumeirahVillageCircle(JVC),0,1,2029.0,3,Apartment
"660,000",0.5,1,6.135564891081739,Majan,1,0,2027.25,35,Apartment
"1,075,184",1.0,2,6.71295620067707,JumeirahVillageCircle(JVC),0,0,2026.5,4,Apartment
"1,998,000",3.0,4,7.349873704738337,JumeirahVillageCircle(JVC),1,0,2027.5,15,Apartment
"2,075,000",3.0,3,7.513709247839705,AlFurjan,1,0,2027.5,7,Apartment
"1,500,956",1.0,2,6.535241271013659,AlSatwa,0,0,2026.5,8,Apartment
"1,200,000",2.0,3,7.135687347028144,DubaiSportsCity,1,1,2028.75,7,Apartment
"2,310,749",2.0,3,7.450079569807499,JumeirahVillageCircle(JVC),0,0,2026.0,6,Apartment
"4,000,000",2.0,3,7.709756864454165,TheSprings,1,1,2027.25,2,Villa
"600,000",0.5,1,6.0844994130751715,JumeirahVillageCircle(JVC),1,1,2026.75,28,Apartment
"1,172,353",1.0,1,6.421622267806518,JumeirahVillageCircle(JVC),0,0,2027.0,14,Apartment
"2,100,000",3.0,3,7.476472381163905,DubaiMarina,0,1,2025.75,3,Apartment
"1,250,000",0.5,1,6.476972362889683,BusinessBay,0,1,2028.25,21,Apartment
"1,600,000",3.0,4,7.590852123688581,DAMACHills2(AkoyabyDAMAC),0,1,2027.25,5,Townhouse
"1,540,000",2.0,2,7.201916317531627,DubaiSportsCity,0,0,2026.5,8,Apartment
"8,290,000",2.0,2,7.517520850603031,JumeirahBeachResidence(JBR),1,1,2026.0,7,Apartment
"790,000",1.0,2,6.57507584059962,DubaiLandResidenceComplex,1,1,2026.25,1,Apartment
"1,761,600",1.0,2,6.439350371100098,BusinessBay,1,0,2026.75,12,Apartment
"2,052,082",2.0,3,7.283448228756631,AlFurjan,0,0,2027.0,1,Apartment
"1,800,000",1.0,2,6.875232087276577,BusinessBay,1,1,2027.25,5,Apartment
"1,399,999",1.0,2,7.181591944611865,DAMACHills,1,1,2024.75,20,Apartment
"635,000",0.5,1,6.439350371100098,InternationalCity,0,0,2025.75,9,Apartment
"1,906,888",3.0,4,7.476472381163905,DubaiSportsCity,0,0,2027.75,26,Apartment
"1,260,000",2.0,2,6.878326468291325,DAMACHills2(AkoyabyDAMAC),0,0,2027.25,26,Apartment
"2,400,000",2.0,3,7.212294468500341,BusinessBay,1,1,2026.75,21,Apartment
"1,180,417",1.0,2,6.675823221634848,AlFurjan,0,0,2027.75,8,Apartment
"33,460,000",6.0,6,9.334326351757174,TilalAlGhaf,0,0,2026.75,14,Villa
"39,000,000",3.0,4,8.490027523343468,PalmJumeirah,0,0,2026.75,23,Apartment
"2,235,000",3.0,4,7.632885505395133,JumeirahVillageCircle(JVC),1,0,2026.75,10,Apartment
"4,739,133",4.0,5,7.7102051944325325,RasAlKhor,0,0,2027.75,2,Apartment
"494,999",0.5,1,6.152732694704104,DubaiSportsCity,1,1,2026.75,5,Apartment
"2,099,999",2.0,2,7.277247726631484,BusinessBay,0,0,2024.75,3,Apartment
"1,050,000",1.0,2,6.583409222158765,DubaiMarina,0,1,2026.75,3,Apartment
"3,050,000",2.0,2,6.9985096422506015,UmmSuqeim,0,0,2024.75,1,Apartment
"2,200,000",2.0,2,6.874198495453294,BusinessBay,1,1,2026.75,16,Apartment
"987,000",1.0,2,6.536691597591305,DubaiSouth,0,0,2026.0,2,Apartment
"1,159,000",1.0,2,6.892641641172089,DubaiProductionCity(IMPZ),0,0,2028.25,43,Apartment
"3,400,000",2.0,2,7.040536390215956,DubaiMarina,0,0,2026.75,4,Apartment
"1,499,999",1.0,2,6.3080984415095305,DowntownDubai,0,1,2027.25,2,Apartment
"2,700,000",2.0,4,7.43307534889858,JumeirahLakeTowers(JLT),0,1,2026.25,39,Apartment
"9,206,000",3.0,4,7.606387389772652,DubaiHarbour,0,0,2025.25,6,Apartment
"8,825,000",5.0,6,8.521981708148035,others,0,0,2027.75,4,Villa
"1,500,000",1.0,2,6.569481420414296,BusinessBay,0,0,2024.75,20,Apartment
"1,750,000",1.0,2,6.74993119378857,others,0,1,2028.0,3,Apartment
"5,795,000",4.0,5,8.282230063296685,AlFurjan,0,0,2024.75,3,Townhouse
"1,200,000",0.5,1,6.059123195581797,BusinessBay,1,1,2024.75,20,Apartment
"865,000",0.5,1,5.860786223465865,AlJaddaf,0,0,2026.0,4,Apartment
"1,188,495",1.0,2,6.675823221634848,WaslGate,0,0,2026.75,7,Apartment
"3,882,000",5.0,6,8.109224953089955,Dubailand,0,0,2028.0,20,Townhouse
"3,300,000",3.0,3,7.9817332866918855,Reem,0,1,2025.5,3,Townhouse
"1,991,891",1.0,2,6.841615476477592,Bukadra,0,0,2027.75,17,Apartment
"3,500,000",4.0,4,7.9996785794994505,TownSquare,0,1,2025.0,1,Townhouse
"789,000",0.5,1,5.958424693029782,DubaiSiliconOasis(DSO),1,0,2028.5,4,Apartment
"8,605,380",3.0,3,7.655390644826152,DubaiHarbour,0,0,2025.75,4,Apartment
"1,250,000",0.5,1,6.476972362889683,BusinessBay,0,1,2027.75,21,Apartment
"1,750,000",1.0,2,6.573680166960646,Bukadra,0,0,2027.25,14,Apartment
"700,000",1.0,1,6.499787040655854,DubaiSportsCity,1,1,2028.25,6,Apartment
"5,500,000",3.0,2,7.366445148327599,DowntownDubai,0,1,2025.75,20,Apartment
"545,000",0.5,1,6.208590026096629,DiscoveryGardens,0,1,2028.75,8,Apartment
"1,750,000",1.0,2,6.923628628138427,DIFC,1,1,2026.75,8,Apartment
"2,667,888",3.0,4,7.6984827878809465,Arjan,0,0,2028.0,3,Apartment
"699,000",0.5,1,6.1224928095143865,DubaiStudioCity,1,0,2025.75,2,Apartment
"2,000,000",1.0,2,6.895682697747868,BusinessBay,0,1,2026.5,3,Apartment
"2,650,000",1.0,2,6.690842277418564,DowntownDubai,0,0,2027.75,1,Apartment
"2,450,000",2.0,3,6.836259277277067,Bukadra,0,0,2027.75,50,Apartment
"900,000",1.0,1,6.3578422665081,BusinessBay,0,1,2025.25,7,Apartment
"920,000",1.0,2,6.7226297948554485,WaslGate,0,0,2027.5,2,Apartment
"14,500,000",3.0,4,8.016317898503415,PalmJumeirah,0,0,2025.75,1,Apartment
"4,100,000",5.0,7,7.768110378525988,DAMACLagoons,0,0,2025.75,11,Townhouse
"3,649,999",4.0,5,7.705262474866325,TheValleybyEmaar,0,1,2026.25,11,Villa
"23,000,000",2.0,3,7.885329239273191,PalmJumeirah,1,0,2026.75,23,Apartment
"1,900,000",3.0,4,7.607878073278507,InternationalCity,0,1,2026.75,8,Townhouse
"1,294,106",1.0,2,6.7912214627261855,JumeirahVillageCircle(JVC),1,0,2026.25,16,Apartment
"7,500,000",6.0,7,9.078749951588586,DAMACLagoons,1,0,2025.5,9,Villa
"4,173,191",3.0,3,7.810758116529357,DubaiMarina,0,1,2029.0,1,Apartment
"2,200,000",1.0,2,6.459904454377535,BusinessBay,1,0,2028.25,7,Apartment
"2,400,000",1.0,1,7.022868086082641,BusinessBay,1,1,2027.75,28,Apartment
"990,000",1.0,2,6.946013991099227,MotorCity,0,1,2024.75,10,Apartment
"4,000,000",2.0,3,7.61972421378267,DIFC,0,1,2027.5,5,Apartment
"9,699,000",3.0,5,7.794823152179389,DowntownDubai,1,1,2026.0,16,Apartment
"3,000,000",4.0,6,7.443078374348516,JumeirahVillageCircle(JVC),0,1,2025.5,21,Villa
"1,500,000",1.0,2,6.729824070489475,Dubailand,1,0,2029.25,7,Apartment
"1,378,607",1.0,1,6.720220155135295,MotorCity,0,0,2027.75,10,Apartment
"1,200,000",1.0,2,6.666956792429207,JumeirahLakeTowers(JLT),1,1,2026.0,3,Apartment
"18,900,000",5.0,5,9.127067452782361,DubaiSportsCity,0,1,2026.75,5,Villa
"18,500,000",6.0,8,9.321165927065067,DubaiSouth,0,0,2027.75,7,Villa
"2,450,000",2.0,3,7.247080584585756,Arjan,0,1,2027.75,5,Apartment
"1,761,600",1.0,2,6.439350371100098,BusinessBay,1,0,2026.75,12,Apartment
